,,,,,,,,Исходно-разрешительные документы,,,,,,,,,,,Инженерные изыскания,,,,,Проектирование,,,,,,,,,Согласования,,,,,,,,,,,,,,,,,,,,,Землеустроительные работы,,,,,Экспертиза проекта,,Итоги,,
,2026,"ТОО ""5А Engineering""",115637700,Акмолинская область,Зерендинский район,Булакский с.о.,с.Карлыколь,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115643600,Акмолинская область,Зерендинский район,Викторовский с.о.,с.Богенбай би,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115630380,Акмолинская область,Зерендинский район,Зерендинский с.о.,с.Коктерек,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115663100,Акмолинская область,Зерендинский район,Исаковский с.о.,с.Исаковка,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115663400,Акмолинская область,Зерендинский район,Исаковский с.о.,с.Костомаровка,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115649200,Акмолинская область,Зерендинский район,Конысбайский с.о.,с.Васильковка,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115649400,Акмолинская область,Зерендинский район,Конысбайский с.о.,с.Донгулагаш,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115667100,Акмолинская область,Зерендинский район,Кызылегисский с.о.,с.Кызылегис,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115667700,Акмолинская область,Зерендинский район,Кызылегисский с.о.,с.Ортаагаш,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
,2026,"ТОО ""5А Engineering""",115651100,Акмолинская область,Зерендинский район,Кызылсаянский с.о.,с.Кызылсая,Имеется,100%,на стадии подготовки,,на стадии подготовки,,Отправлено в МИО,,на стадии подготовки,,"5,00%",Срок до 31.05.,,"полевые работы - срок 15.05.
камеральные работы - срок 31.05.",,0%,,,,,,,,,"0,00%",на стадии подготовки,,на стадии подготовки,,,,,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,на стадии подготовки,,,,0%,на стадии подготовки,,на стадии подготовки,,0%,,0%,,01.09.2026,"0,38%"
