№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
47,113655300,"36,22",ВОЛС,Акмолинская область,Астраханский район,Староколутонский с.о.,с.Енбек,"51.757731, 69.454504",68,2026,16,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
48,113655400,5,ВОЛС,Акмолинская область,Астраханский район,Староколутонский с.о.,с.Ковыленка,"51.798715, 69.304791",151,2026,94,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
49,113657200,,Спутник,Акмолинская область,Астраханский район,Узункольский с.о.,с. Алгабас,"51.554528, 69.412768",,2027,52,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
50,113657300,"36,22",ВОЛС,Акмолинская область,Астраханский район,Узункольский с.о.,с.Булакты,"51.409238, 69.305518",57,2026,99,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
51,113657100,9,ВОЛС,Акмолинская область,Астраханский район,Узункольский с.о.,с.Узунколь,"51.500803, 69.391209",268,2026,29,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.09.2026,,,
52,113851200,,Спутник,Акмолинская область,Атбасарский район,Акана Курманова,Караколь,"51.608524, 68.171934",,2025,63,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
53,113841200,2,ВОЛС,Акмолинская область,Атбасарский район,Макеевский с.о.,с. Макеевка,"52.139840, 68.291181",,2025,76,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.06.2027,30.11.2027,,,
54,113843300,7,ВОЛС,Акмолинская область,Атбасарский район,Мариновский с.о.,с.Бейис Хазирет,"51.772797, 69.051762",215,2026,73,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
55,113853300,8,ВОЛС,Акмолинская область,Атбасарский район,Полтавский с.о.,с. Титовка,"52.047222, 68.047500",78,2026,0,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
56,113857400,17,ВОЛС,Акмолинская область,Атбасарский район,Сергеевский с.о.,с.Самарка,"51.605689, 68.032444",252,2026,84,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
57,113863200,9,ВОЛС,Акмолинская область,Атбасарский район,Тельманский с.о.,с.Поповка,"51.740775, 68.651505",246,2026,85,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
58,113867300,"10,3",ВОЛС,Акмолинская область,Атбасарский район,Ярославский с.о.,с.Калиновка,"51.692670, 68.530335",234,2026,69,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
59,113867400,4,ВОЛС,Акмолинская область,Атбасарский район,Ярославский с.о.,с.Магдалиновка,"51.691760, 68.372205",223,2026,56,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
60,113867700,4,ВОЛС,Акмолинская область,Атбасарский район,Ярославский с.о.,с.Хрящевка,"51.653729, 68.310760",174,2026,97,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
61,114539600,,Спутник,Акмолинская область,район Биржан сал,Зауральский,Яблоновка,"52.578798, 70.940443",,2025,128,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
62,114051100,14,ВОЛС,Акмолинская область,Буландынский район,Айнакольский с.о.,с.Айнаколь,"51.867576, 69.686727",206,2026,49,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
63,114035200,"36,22",ВОЛС,Акмолинская область,Буландынский район,Алтындынский с.о.,с. Алаколь,"52.299585, 70.863745",216,2026,64,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
64,114035300,"36,22",ВОЛС,Акмолинская область,Буландынский район,Алтындынский с.о.,с. Боярка,"52.373453, 70.612576",,2025,103,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.07.2026,31.10.2026,,,
65,114035500,"36,22",ВОЛС,Акмолинская область,Буландынский район,Алтындынский с.о.,с. Жанаталап,"52.333689, 70.78446",131,2026,29,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
66,114053300,"36,22",ВОЛС,Акмолинская область,Буландынский район,Амангельдинский с.о.,с. Ортакшыл,"52.19465, 69.678678",68,2026,13,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
67,114031200,4,ВОЛС,Акмолинская область,Буландынский район,Вознесенский с.о.,с.Аккайын,"52.516769, 70.259601",286,2026,81,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
68,114037400,2,ВОЛС,Акмолинская область,Буландынский район,Ергольский с.о.,с. Новокиевка,"52.483574, 69.949547",,2025,68,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.07.2026,31.10.2026,,,
69,114037200,12,ВОЛС,Акмолинская область,Буландынский район,Ергольский с.о.,с.Гордеевка,"52.479817, 69.834806",153,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
70,114037300,5,ВОЛС,Акмолинская область,Буландынский район,Ергольский с.о.,с.Иванковка,"52.283803, 70.081510",133,2026,57,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
71,114039200,11,ВОЛС,Акмолинская область,Буландынский район,Журавлевский с.о.,с.Воробьевка,"51.901976, 69.837824",209,2026,72,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
72,114039600,20,ВОЛС,Акмолинская область,Буландынский район,Журавлевский с.о.,с.Ярославка,"51.992445, 69.968520",156,2026,65,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
73,114043200,"36,22",ВОЛС,Акмолинская область,Буландынский район,Карамышевский с.о.,с. Мат,"52.27178, 69.832605",,2026,52,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
74,114043400,17,ВОЛС,Акмолинская область,Буландынский район,Карамышевский с.о.,с.Отрадное,"52.355174, 69.636449",308,2026,54,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
75,114055700,4,ВОЛС,Акмолинская область,Буландынский район,Караузекский с.о.,с.Байсуат,"52.548673, 70.275941",192,2026,45,,,,,,,,,,,,,0,В работе,,,0,0,15.07.2026,31.10.2026,,,
76,114047200,5,ВОЛС,Акмолинская область,Буландынский район,Новобратский с.о.,с.Буденовка,"52.095082, 69.629846",133,2025,108,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.07.2026,31.10.2026,,,
77,117033800,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Абылайхановский с.о.,с. Озерное,"52.961888, 70.069185",102,2026,37,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
78,117033600,14,ВОЛС,Акмолинская область,Бурабайский район,Абылайхановский с.о.,с.Карабауыр,"53.196229, 70.234583",153,2026,37,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
