№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
1858,104239300,10,ВОЛС,Область Абай,Жарминский район,Божегурский с.о.,с.Укили,49.3356 81.1932,86,2027,22,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1859,104265100,30,ВОЛС,Область Абай,Жарминский район,Жарыкский с.о.,с.Жарык,"48.817537, 81.537321",,2026,569,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1860,104265300,3,ВОЛС,Область Абай,Жарминский район,Жарыкский с.о.,с.Малай,"49.018975, 81.361269",127,2027,32,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1861,104230400,3,ВОЛС,Область Абай,Жарминский район,Калбатауский с.о.,с.Батыр Капай,"49.360595, 81.604047",458,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1864,104275500,"0,5",ВОЛС (Wi-Fi public),Область Абай,Жарминский район,Капанбулакский с.о.,с.Төлеуғали Әбдібекова,"48.915466, 80.871094",177,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1863,104275300,22,ВОЛС,Область Абай,Жарминский район,Капанбулакский с.о.,с.Егинбулак,"48.887412, 81.073413",102,2027,26,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1865,104277200,33,ВОЛС (Wi-Fi public),Область Абай,Жарминский район,Карасуский с.о.,с.Аскаралы,"50.055598, 81.071355",87,2025,15,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.04.2026,30.11.2026,,,
1887,104445400,1,ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,с.о.им.Койгельды Аухадиева,с.Черноярка,"48.833587, 82.708553",81,2027,20,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1866,104277100,19,ВОЛС,Область Абай,Жарминский район,Карасуский с.о.,с.Киши Карасу,"49.965485, 81.124464",406,2027,70,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1867,104277300,24,ВОЛС,Область Абай,Жарминский район,Карасуский с.о.,с.Конырбиик,"49.826999, 81.074086",262,2027,66,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1868,104279100,6,ВОЛС,Область Абай,Жарминский район,Каратобинский с.о.,с.Каратобе,"49.252821, 81.903609",501,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1869,104279300,4,ВОЛС,Область Абай,Жарминский район,Каратобинский с.о.,с.Кентарлау,"49.169225, 81.966140",293,2027,73,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1870,104279200,21,ВОЛС,Область Абай,Жарминский район,Каратобинский с.о.,с.Ади,"49.223757, 82.179319",231,2027,58,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1871,104281100,36,ВОЛС,Область Абай,Жарминский район,Кызылагашский с.о.,с.Кызылагаш,"48.614768, 81.212642",370,2027,93,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1872,104285500,28,ВОЛС,Область Абай,Жарминский район,Суыкбулакский с.о.,с.Узунжал,"49.982362, 80.746794",174,2025,44,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.04.2026,30.11.2026,,,
1873,104285300,21,ВОЛС,Область Абай,Жарминский район,Суыкбулакский с.о.,с.Жайма,"49.759675, 80.589176",201,2027,50,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1874,104285400,24,ВОЛС,Область Абай,Жарминский район,Суыкбулакский с.о.,с.Теристанбалы,"50.093332, 80.806577",62,2027,30,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1875,104221400,22,ВОЛС,Область Абай,Жарминский район,Шарская г/а,с.Кошек,"49.430355, 81.243473",169,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1876,104221700,6,ВОЛС,Область Абай,Жарминский район,Шарская г/а,с.Сарыарка,"49.501497, 82.003941",176,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1877,104221300,14,ВОЛС,Область Абай,Жарминский район,,с. Кезенсу,"49.652800, 80.891513",,2027,159,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
1878,104459200,,Спутник,Область Абай,Кокпектинский район,Бигашский с.о.,с. Егинбулак,"48.678301, 81.779794",,2027,90,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1879,104459100,38,ВОЛС,Область Абай,Кокпектинский район,Бигашский с.о.,с.Бигаш,"48.638290, 82.009933",337,2027,84,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1880,104445200,10,ВОЛС,Область Абай,Кокпектинский район,Койгельды Аухадиевский с/о,с.Укиликыз,"48.894254, 82.688107",204,2027,51,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1881,104439600,,Спутник,Область Абай,Кокпектинский район,Кокжайыкский с.о.,с. Карагандыколь,"48.468594, 82.951529",,2025,62,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
1882,104439300,6,ВОЛС,Область Абай,Кокпектинский район,Кокжайыкский с.о.,с.Акой,"48.715955, 82.704708",240,2027,60,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1883,104439500,7,ВОЛС,Область Абай,Кокпектинский район,Кокжайыкский с.о.,с.Карамойыл,"48.743761, 82.694997",251,2027,63,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1884,104430500,7,ВОЛС,Область Абай,Кокпектинский район,Кокпектинский с.о.,с.Шариптогай,"48.780386, 82.433444",284,2027,71,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1885,104430300,3,ВОЛС,Область Абай,Кокпектинский район,Кокпектинский с.о.,с.Ажа,"48.642464, 82.566781",235,2025,59,,1,1,,,,,,,,,,2,Подключено,временно спутник,"1 Школа, 1 ФАП",2,1,15.04.2027,30.11.2027,,,
1886,104430600,16,ВОЛС,Область Абай,Кокпектинский район,Кокпектинский с.о.,с.Толагай,"48.889414, 82.441969",133,2027,33,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1891,104435200,10,ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,Улкен Букенский с.о.,с.Актас,"48.859265, 82.457600",116,2026,29,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1888,104465100,22,ВОЛС,Область Абай,Кокпектинский район,Тассайский с.о.,с.Тассай,"48.356551, 82.910961",1061,2027,140,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1889,104465500,8,ВОЛС,Область Абай,Кокпектинский район,Тассайский с.о.,с.Ушкумей,"48.331082, 82.958168",156,2027,39,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1890,104467100,6,ВОЛС,Область Абай,Кокпектинский район,Теректинский с.о.,с.Теректы,"48.794876, 82.763647",736,2027,120,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1892,104435300,"0,5",ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,Улкен Букенский с.о.,с.Жалсары,"48.764034, 82.527911",130,2027,33,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1894,104469400,"34,22",ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,Ульгулималшинский с.о.,с.Нура,"48.590371, 83.011249",81,2027,20,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1893,104469600,3,ВОЛС,Область Абай,Кокпектинский район,Ульгулималшинский с.о.,с.Мамай,"48.587498, 82.938962",323,2027,81,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1895,104469500,"4,5",ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,Ульгулималшинский с.о.,с.Сулеймен,"48.581604, 83.149365",106,2027,27,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1897,104477300,"34,22",ВОЛС (Wi-Fi public),Область Абай,Кокпектинский район,,с.Мелитополь,"48.656434, 83.019783",71,2027,18,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1896,104469100,28,ВОЛС,Область Абай,Кокпектинский район,Ульгулималшинский с.о.,с.Ульгули-Малши,48.3453 83.0603,650,2027,120,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1901,103439200,15,ВОЛС (Wi-Fi public),Область Абай,район Ақсуат,Кумгольский с.о.,с.Кокбастау,"49.202253, 84.663700",68,2026,17,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1898,104477100,22,ВОЛС,Область Абай,Кокпектинский район,,с.Шугылбай,"48.677022, 82.960602",383,2027,96,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1899,103437100,,Спутник,Область Абай,район Ақсуат,Киндиктинский с.о.,с.Киндикты,"48.33666, 81.65694",,2026,563,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1900,103439400,,Спутник,Область Абай,район Ақсуат,Кумгольский с.о.,с. Кызылжулдыз,"50.50201, 81.22672",,2027,159,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1902,103441200,"34,22",ВОЛС (Wi-Fi public),Область Абай,район Ақсуат,Кызылкесекский с.о.,с.Егиндибулак,"47.89472, 81.91722",58,2026,15,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1910,101035200,59,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Айнабулакский с.о.,с.Самай,"49.42237, 78.24011",108,2026,27,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1903,103441100,51,ВОЛС,Область Абай,район Ақсуат,Кызылкесекский с.о.,с.Кызылкесек,"47.88361, 82.01083",1236,2026,150,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1904,103441400,,Спутник,Область Абай,район Ақсуат,Кызылкесекский с.о.,с.Уштобе,"47.602829, 81.860948",,2026,622,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1905,103445200,12,ВОЛС,Область Абай,район Ақсуат,Сатпаевский с.о.,с.Коктубек,"47.857638, 82.720213",347,2026,87,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1906,103445100,5,ВОЛС,Область Абай,район Ақсуат,Сатпаевский с.о.,с.Сатпаев,"47.888274, 82.607726",463,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1907,103445300,21,ВОЛС,Область Абай,район Ақсуат,Сатпаевский с.о.,с.Сулутал,"47.96777, 82.89722",83,2026,21,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1908,103447300,11,ВОЛС,Область Абай,район Ақсуат,Ыргызбайский с.о.,с.Кожакельды,"48.009000, 82.513349",108,2026,27,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2027,30.11.2027,,,
1909,101035100,10,ВОЛС,Область Абай,Район Жаңасемей,Айнабулакский с.о.,с.Айнабулак,"49.40880, 78.34772",208,2026,52,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1912,101037200,17,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Акбулакский с.о.,с.Танат,"49.07784, 78.10276",106,2026,27,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1911,101037100,3,ВОЛС,Область Абай,Район Жаңасемей,Акбулакский с.о.,с. Акбулак,49.165986 77.945731,,2026,500,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1915,101051500,32,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Кокентауский с.о.,с.Жазык,"50.10460, 79.31311",167,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1913,101043200,3,ВОЛС,Область Абай,Район Жаңасемей,Достыкский с.о.,с.Достык,"50.45366, 79.85405",414,2026,104,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1914,101045200,9,ВОЛС,Область Абай,Район Жаңасемей,Иртышский с.о.,с.Мурат,"50.43772, 80.13426",498,2026,125,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1917,101051200,10,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Кокентауский с.о.,с.Кыземшек,"50.14484, 79.67364",104,2026,26,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1916,101051100,59,ВОЛС,Область Абай,Район Жаңасемей,Кокентауский с.о.,с.Кокентау,"50.07854, 79.58285",1462,2026,170,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1918,101053200,"1,5",ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Новобаженовский с.о.,с.Баженово,"50.38555, 80.99471",167,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1921,101057200,8,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Озерский с.о.,с.Караколь,"50.07014, 80.03079",152,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1919,101053300,3,ВОЛС,Область Абай,Район Жаңасемей,Новобаженовский с.о.,с.Булак,"50.32411, 80.86512",590,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1920,101053400,10,ВОЛС,Область Абай,Район Жаңасемей,Новобаженовский с.о.,с.Климентьевка,"50.26417, 80.92776",151,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1922,101057300,13,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Озерский с.о.,с.Половинка,"50.38853, 80.65103",432,2026,108,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1924,101059200,"0,5",ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Приречный с.о.,с.Гранитное,"50.349248, 80.478108",375,2026,94,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1923,101057400,39,ВОЛС,Область Абай,Район Жаңасемей,Озерский с.о.,с.Талица,"50.37444, 80.81253",756,2026,90,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1926,101059400,4,ВОЛС (Wi-Fi public),Область Абай,Район Жаңасемей,Приречный с.о.,с.Муздыбай,"50.37063, 80.61825",291,2026,73,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1925,101059300,7,ВОЛС,Область Абай,Район Жаңасемей,Приречный с.о.,с.Жаркын,"50.31024, 80.28672",791,2026,120,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1927,104637300,24,ВОЛС (Wi-Fi public),Область Абай,район Мақаншы,Акшокинский с.о.,с.Подгорное,47.08156.82.75277,58,2026,15,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1929,104669300,1,ВОЛС (Wi-Fi public),Область Абай,район Мақаншы,Каратальский с.о.,с.Бекет,46.77251.82.04617,407,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1928,104665200,15,ВОЛС,Область Абай,район Мақаншы,Карабулакский с.о.,с.Барлыкарасан,"46.106385, 82.317930",119,2027,30,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1950,104667180,4,ВОЛС (Wi-Fi public),Область Абай,Урджарский район,Каракольский с.о.,ферма 1 Абай,"46.781629, 82.023857",72,2027,5,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1930,104669400,5,ВОЛС,Область Абай,район Мақаншы,Каратальский с.о.,с.Бугубай,"46.714478, 82.563736",200,2027,50,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1931,104645200,7,ВОЛС,Область Абай,район Мақаншы,Келдимуратовский с.о.,с.Кызылжулдуз,"47.065807, 82.166761",98,2027,25,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1932,104659100,,Спутник,Область Абай,район Мақаншы,Коктальский с.о.,с.Коктал,"46.457257, 81.846386",,2026,643,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1933,104661200,10,ВОЛС,Область Абай,район Мақаншы,Коктерекский с.о.,с.Кайынды,"46.963798, 82.268136",430,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1934,104661100,24,ВОЛС,Область Абай,район Мақаншы,Коктерекский с.о.,с.Коктерек,"46.901057, 82.273337",1230,2027,120,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1935,104661300,10,ВОЛС,Область Абай,район Мақаншы,Коктерекский с.о.,с.Кызылбулак,"47.018971, 82.250044",266,2027,67,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1936,104663100,24,ВОЛС,Область Абай,район Мақаншы,с.о Қарабұта,с.Қарабұта,"46.867046, 82.578486",1181,2027,110,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1937,104633200,"7,5",ВОЛС,Область Абай,Урджарский район,Акжарский с.о.,с.Амангельды,"47.019315, 81.550220",110,2027,28,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1938,104633300,"7,5",ВОЛС,Область Абай,Урджарский район,Акжарский с.о.,с.Карамойыл,47.0610 81.3238,90,2027,23,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1939,104637100,36,ВОЛС,Область Абай,Урджарский район,Акшокинский с.о.,с.Акшокы,"46.90458, 82.27099",970,2027,120,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1940,104639200,3,ВОЛС,Область Абай,Урджарский район,Алтыншокинский с.о.,с.им.Айтбая,"47.156082, 81.004054",875,2027,110,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1941,104639300,4,ВОЛС,Область Абай,Урджарский район,Алтыншокинский с.о.,с.Лайбулак,"47.136084, 81.159462",392,2027,98,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1942,104639400,3,ВОЛС,Область Абай,Урджарский район,Алтыншокинский с.о.,с.Текебулак,"47.171650, 81.026808",94,2026,20,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1943,104679300,11,ВОЛС,Область Абай,Урджарский район,Баркытбельский с.о.,с.Благодатное,"47.257843, 81.321905",188,2027,47,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1944,104679400,10,ВОЛС,Область Абай,Урджарский район,Баркытбельский с.о.,с.Некрасовка,"47.241499, 81.406283",506,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1945,104679500,11,ВОЛС,Область Абай,Урджарский район,Баркытбельский с.о.,с.Батпакты,"47.245072, 81.484518",343,2027,86,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1946,104643200,13,ВОЛС,Область Абай,Урджарский район,Бестерекский с.о.,с.Казымбет,"47.249794, 81.555431",467,2027,70,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1947,104643300,8,ВОЛС,Область Абай,Урджарский район,Бестерекский с.о.,с. Ер-Кабанбай,"46.075984, 82.084987",447,2027,70,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1948,104647200,4,ВОЛС,Область Абай,Урджарский район,Жана тилекский с.о.,с.Тасарык,"47.103708, 81.296545",361,2027,90,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1949,104667400,32,ВОЛС,Область Абай,Урджарский район,Каракольский с.о.,с.Сагат,"46.694220, 80.764626",295,2027,74,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1958,333233400,3,ВОЛС (Wi-Fi public),Область Жетісу,Аксуский район,Аксуский с.о.,с.Казахстан,"45.611183, 79.463936",493,2026,123,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1951,104675200,"3,5",ВОЛС,Область Абай,Урджарский район,Науалинский с.о.,с.Малак,"47.015008, 81.726317",578,2027,70,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1952,104681300,14,ВОЛС,Область Абай,Урджарский район,Салкынбельский с.о.,с.Карабуйрат,"47.341923, 81.194101",343,2027,86,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1953,104681100,22,ВОЛС,Область Абай,Урджарский район,Салкынбельский с.о.,с.Сегизбай,"47.280846, 81.155267",624,2027,90,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1954,104630200,7,ВОЛС,Область Абай,Урджарский район,Урджарский с.о.,с.Бургон,"47.180176, 81.865107",120,2027,30,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1955,104630300,14,ВОЛС,Область Абай,Урджарский район,Урджарский с.о.,с.Кызылту,"47.139688, 81.750042",670,2027,80,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2027,30.11.2027,,,
1956,101049200,,Спутник,Область Абай,,,с. Маралды,"50.509063, 79.631473",,2027,135,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
1957,333233500,,Спутник,Область Жетісу,Аксуский район,Аксуский с.о.,с. Оним,"45.583887, 79.396321",,2025,62,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
1959,333233200,"3,5",ВОЛС (Wi-Fi public),Область Жетісу,Аксуский район,Аксуский с.о.,с.Казсельхозтехника,"45.611180, 79.463937",130,2026,33,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1961,333233600,10,ВОЛС (Wi-Fi public),Область Жетісу,Аксуский район,Аксуский с.о.,с.Шолакозек,"45.611438, 79.559529",177,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1960,333233300,18,ВОЛС,Область Жетісу,Аксуский район,Аксуский с.о.,с.Кокжайдак,"45.576178, 79.561207",679,2026,170,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1964,333239300,"0,5",ВОЛС (Wi-Fi public),Область Жетісу,Аксуский район,Есебулатовский с.о.,с.Энергетик,"45.384491, 79.541435",151,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1962,333235300,"6,5",ВОЛС,Область Жетісу,Аксуский район,Арасанский с.о.,с.Кызылжар,"45.219904, 79.413919",119,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1963,333239200,11,ВОЛС,Область Жетісу,Аксуский район,Есебулатовский с.о.,с.Кызылкайын,"45.478954, 79.597930",128,2026,32,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1976,333265400,"34,22",ВОЛС (Wi-Fi public),Область Жетісу,Аксуский район,Кызылагашский с.о.,с.Копалы,"45.283642, 78.816584",63,2027,16,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1965,333245100,26,ВОЛС,Область Жетісу,Аксуский район,Жаналыкский с.о.,с.Жаналык,"45.753194, 79.679443",736,2026,184,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1966,333230200,5,ВОЛС,Область Жетісу,Аксуский район,Жансугуровский с.о.,с.Алтынарык,"45.405795, 79.424860",528,2026,132,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1967,333253100,29,ВОЛС,Область Жетісу,Аксуский район,Каракозский с.о.,с.Каракоз,"45.652091, 79.744193",629,2026,157,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1968,333253200,3,ВОЛС,Область Жетісу,Аксуский район,Каракозский с.о.,с.Кенкарын,"45.549522, 79.801667",402,2026,101,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1969,333255200,3,ВОЛС,Область Жетісу,Аксуский район,Карасуский с.о.,с.Енбек,"45.463247, 79.727557",332,2026,31,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1970,333255100,13,ВОЛС,Область Жетісу,Аксуский район,Карасуский с.о.,с.Кенжыра,"45.508143, 79.749565",663,2026,35,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1971,333255300,5,ВОЛС,Область Жетісу,Аксуский район,Карасуский с.о.,с.Тарас,"45.444103, 79.793628",354,2026,89,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1972,333259300,10,ВОЛС,Область Жетісу,Аксуский район,Карашиликский с.о.,с.Карашилик,"45.466206, 79.189816",765,2026,191,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1973,333259400,3,ВОЛС,Область Жетісу,Аксуский район,Карашиликский с.о.,с.Сагакурес,"45.409819, 79.249824",653,2026,163,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1974,333247200,3,ВОЛС,Область Жетісу,Аксуский район,Кошкентальский с.о.,с.Колтабан,"45.405029, 78.646210",263,2026,66,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1975,333265200,"4,5",ВОЛС,Область Жетісу,Аксуский район,Кызылагашский с.о.,с.Заречное,"45.394030, 78.755382",495,2026,124,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1985,333439400,6,ВОЛС (Wi-Fi public),Область Жетісу,Алакольский район,Бескольский с.о.,с.Каратума,"46.174038, 81.159238",74,2026,19,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2027,30.11.2027,,,
1977,333269600,50,ВОЛС,Область Жетісу,Аксуский район,Матайский с.о.,с.Кураксу,"46.052472, 78.270597",351,2026,88,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1978,333275100,27,ВОЛС,Область Жетісу,Аксуский район,Ойтоганский с.о.,с.Ойтоган,"45.771527, 79.244675",990,2026,248,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
1979,333267200,22,ВОЛС,Область Жетісу,Аксуский район,с.о.Барлыбека Сырттанова,с.Копа,"45.609188, 79.079458",620,2026,155,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,30.11.2026,,,
